Date,Value
1960,67.78899
1961,66.27999
1962,64.771
1963,61.5582
1964,58.3454
1965,55.1326
1966,51.9198
1967,48.707
1968,44.8646
1969,41.0222
1970,37.1798
1971,33.3374
1972,29.495
1973,26.6786
1974,23.8622
1975,21.0458
1976,18.2294
1977,15.413
1978,16.2344
1979,17.0558
1980,17.8772
1981,18.6986
1982,19.52
1983,20.5586
1984,21.5972
1985,22.6358
1986,23.6744
1987,24.713
1988,20.8724
1989,17.0318
1990,13.1912
1991,9.350601
1992,5.51
1993,5.5904
1994,5.6708
1995,5.7512
1996,5.8316
1997,5.912
1998,6.2256
1999,6.5392
2000,6.8528
2001,7.1664
2002,7.48
2003,7.6596
2004,7.8392
2005,8.0188
2006,8.1984
2007,8.378
2008,8.4126
2009,8.4472
2010,8.4818
2011,8.5164
2012,8.551
2013,8.5818
2014,
