Date,Value
1960,7.04071014424572
1961,6.94850680077859
1962,6.82184970400409
1963,6.68931573663311
1964,6.58969375904032
1965,6.54961495969869
1966,6.57288429351041
1967,6.64781050405337
1968,6.76512288704049
1969,6.9123871864064
1970,7.08009825913046
1971,7.26873220008319
1972,7.47579345480246
1973,7.68671036667654
1974,7.88310791374738
1975,8.05208619778909
1976,8.18857094983108
1977,8.296416311561
1978,8.38259931528371
1979,8.45728398698853
1980,8.52735542103048
1981,8.59583312664015
1982,8.66067836440017
1983,8.7180416510368
1984,8.76269334015678
1985,8.79277706354869
1986,8.8072142794203
1987,8.811735724539
1988,8.81889643753044
1989,8.84412062598833
1990,8.89722847501602
1991,8.98112483682648
1992,9.09140419825692
1993,9.22114981664179
1994,9.3600063723956
1995,9.49993468186487
1996,9.63987343671495
1997,9.78081153762462
1998,9.91906343830492
1999,10.0505214552577
2000,10.1725209472131
2001,10.2852939902761
2002,10.3905747745319
2003,10.489898902862
2004,10.5858968357853
2005,10.6823532288566
2006,10.7826375341405
2007,10.8918789129076
2008,11.0182153741883
2009,11.1711883505333
2010,11.3594174810863
2011,11.579605641202
2012,11.8354293135996
2013,12.1427158563779
2014,
