Date,Value
1960,77.4841233695676
1961,78.4197158663729
1962,79.3428105040067
1963,80.1586962766397
1964,80.73724959012
1965,80.9995388211226
1966,80.8830101609323
1967,80.4548879449884
1968,79.9078704771628
1969,79.4760138556906
1970,79.282678972339
1971,79.3863858425701
1972,79.6683555550448
1973,79.8644851592893
1974,79.636527355484
1975,78.7786150381478
1976,77.2784479832543
1977,75.2799000621678
1978,72.940005024451
1979,70.4617532917711
1980,67.999738914574
1981,65.5797344417473
1982,63.2165957994745
1983,61.0202042253438
1984,59.1054895726162
1985,57.538524775615
1986,56.3219778658636
1987,55.4142602678869
1988,54.7700136826397
1989,54.3266268155982
1990,54.0260738979707
1991,53.8566251932465
1992,53.7870180614278
1993,53.7198158918081
1994,53.5378936010902
1995,53.1568495783048
1996,52.5731092402182
1997,51.8008302890423
1998,50.8072681082795
1999,49.5631490122297
2000,48.0726992520074
2001,46.3345931278713
2002,44.4193395849258
2003,42.4848674441575
2004,40.7167736970202
2005,39.2366417014011
2006,38.0698084632722
2007,37.1858065049138
2008,36.5714400956111
2009,36.1978648223492
2010,36.0407665415074
2011,36.0952869174016
2012,36.3586805460402
2013,36.8108115555698
2014,
