Date,Value
1960,70.4434132253219
1961,71.4712090655944
1962,72.5209608000026
1963,73.4693805400066
1964,74.1475558310797
1965,74.4499238614239
1966,74.3101258674218
1967,73.807077440935
1968,73.1427475901223
1969,72.5636266692842
1970,72.2025807132085
1971,72.117653642487
1972,72.1925621002423
1973,72.1777747926128
1974,71.7534194417366
1975,70.7265288403587
1976,69.0898770334232
1977,66.9834837506068
1978,64.5574057091673
1979,62.0044693047825
1980,59.4723834935436
1981,56.9839013151071
1982,54.5559174350743
1983,52.302162574307
1984,50.3427962324594
1985,48.7457477120663
1986,47.5147635864433
1987,46.6025245433479
1988,45.9511172451092
1989,45.4825061896099
1990,45.1288454229547
1991,44.87550035642
1992,44.6956138631709
1993,44.4986660751663
1994,44.1778872286946
1995,43.65691489644
1996,42.9332358035033
1997,42.0200187514177
1998,40.8882046699746
1999,39.5126275569721
2000,37.9001783047943
2001,36.0492991375951
2002,34.0287648103938
2003,31.9949685412955
2004,30.1308768612349
2005,28.5542884725445
2006,27.2871709291316
2007,26.2939275920062
2008,25.5532247214228
2009,25.0266764718159
2010,24.6813490604211
2011,24.5156812761996
2012,24.5232512324407
2013,24.6680956991919
2014,
