Date,Value
1960,25.43
1961,14.24
1962,10.02
1963,10.04
1964,11.5
1965,9.5
1966,8.83
1967,8.43
1968,8.21
1969,8.03
1970,7.6
1971,7.32
1972,7.61
1973,7.04
1974,7.34
1975,7.32
1976,7.25
1977,6.87
1978,6.25
1979,6.21
1980,6.34
1981,6.36
1982,6.6
1983,6.9
1984,6.82
1985,6.78
1986,6.86
1987,6.72
1988,6.64
1989,6.54
1990,6.67
1991,6.7
1992,6.64
1993,6.64
1994,6.49
1995,6.57
1996,6.56
1997,6.51
1998,6.5
1999,6.46
2000,6.45
2001,6.43
2002,6.41
2003,6.4
2004,6.42
2005,6.51
2006,6.81
2007,6.93
2008,7.06
2009,7.08
2010,7.11
2011,7.14
2012,7.15
2013,7.2
2014,
