Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,44.6937335129838
1991,44.7089959585922
1992,44.6665069759203
1993,44.6239886016403
1994,44.6394586020148
1995,44.6569430319261
1996,44.6716824701963
1997,44.6252840159567
1998,44.6342299423955
1999,44.6958836025431
2000,44.6878668592846
2001,44.6507348569786
2002,44.5416803431004
2003,44.4908621353806
2004,44.3708226126844
2005,44.2538254631178
2006,44.1407766392468
2007,44.0319297220636
2008,43.9212956352856
2009,43.8156643529085
2010,43.701600042404
2011,43.6428141965697
2012,43.6385445618206
2013,43.57660950593
2014,
