Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,72.6999969482422
1991,72.5999984741211
1992,72.5
1993,72.4000015258789
1994,72.3000030517578
1995,72.1999969482422
1996,72
1997,71.6999969482422
1998,71.4000015258789
1999,71.0999984741211
2000,70.6999969482422
2001,69.9000015258789
2002,69
2003,68.1999969482422
2004,67.3000030517578
2005,66.5
2006,65.8000030517578
2007,65.1999969482422
2008,64.5999984741211
2009,64.0999984741211
2010,63.5
2011,63.7000007629395
2012,63.7999992370605
2013,63.9000015258789
2014,
