Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,79.0999984741211
1991,79
1992,78.9000015258789
1993,78.8000030517578
1994,78.6999969482422
1995,78.5
1996,78.3000030517578
1997,78
1998,77.5999984741211
1999,77.0999984741211
2000,76.6999969482422
2001,75.8000030517578
2002,74.9000015258789
2003,74
2004,73.0999984741211
2005,72.3000030517578
2006,71.5999984741211
2007,71
2008,70.4000015258789
2009,69.9000015258789
2010,69.4000015258789
2011,69.6999969482422
2012,70
2013,70.1999969482422
2014,
