Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,79
1991,78.4000015258789
1992,77.8000030517578
1993,77.1999969482422
1994,76.5
1995,75.5999984741211
1996,74.4000015258789
1997,73
1998,71.3000030517578
1999,69.5
2000,67.6999969482422
2001,65.4000015258789
2002,63.2999992370605
2003,61.2000007629395
2004,59.4000015258789
2005,57.9000015258789
2006,56.7000007629395
2007,55.7000007629395
2008,54.9000015258789
2009,54
2010,52.7999992370605
2011,53.4000015258789
2012,53.7000007629395
2013,53.9000015258789
2014,
