Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,77.3000030517578
1991,77
1992,76.8000030517578
1993,76.5
1994,76.0999984741211
1995,75.5
1996,74.5
1997,73.3000030517578
1998,71.8000030517578
1999,70.0999984741211
2000,68.5
2001,66.5
2002,64.6999969482422
2003,63
2004,61.5
2005,60.5
2006,59.7000007629395
2007,59.2000007629395
2008,58.9000015258789
2009,58.4000015258789
2010,57.5
2011,58.0999984741211
2012,58.5
2013,58.5999984741211
2014,
