Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,78.1999969482422
1991,77.6999969482422
1992,77.3000030517578
1993,76.8000030517578
1994,76.3000030517578
1995,75.5
1996,74.5
1997,73.0999984741211
1998,71.5
1999,69.8000030517578
2000,68.0999984741211
2001,66
2002,64
2003,62.0999984741211
2004,60.5
2005,59.2000007629395
2006,58.2999992370605
2007,57.5999984741211
2008,57
2009,56.2999992370605
2010,55.2999992370605
2011,55.9000015258789
2012,56.2000007629395
2013,56.4000015258789
2014,
