Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,84.8000030517578
1991,84.8000030517578
1992,84.8000030517578
1993,84.8000030517578
1994,84.8000030517578
1995,84.6999969482422
1996,84.5
1997,84.3000030517578
1998,84
1999,83.5999984741211
2000,83.0999984741211
2001,82.4000015258789
2002,81.6999969482422
2003,80.9000015258789
2004,80.1999969482422
2005,79.5
2006,79
2007,78.5999984741211
2008,78.3000030517578
2009,77.9000015258789
2010,77.5999984741211
2011,77.8000030517578
2012,78.0999984741211
2013,78.3000030517578
2014,
