Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,88.9000015258789
1991,88.9000015258789
1992,89
1993,89
1994,89.0999984741211
1995,89.0999984741211
1996,89
1997,88.8000030517578
1998,88.5
1999,88.0999984741211
2000,87.6999969482422
2001,87.0999984741211
2002,86.4000015258789
2003,85.5999984741211
2004,85
2005,84.4000015258789
2006,83.9000015258789
2007,83.5999984741211
2008,83.3000030517578
2009,83.0999984741211
2010,82.9000015258789
2011,83.1999969482422
2012,83.5999984741211
2013,84
2014,
