Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,78.9000015258789
1991,78.8000030517578
1992,78.8000030517578
1993,78.8000030517578
1994,78.6999969482422
1995,78.5999984741211
1996,78.4000015258789
1997,78.1999969482422
1998,77.9000015258789
1999,77.5
2000,77.0999984741211
2001,76.3000030517578
2002,75.5
2003,74.6999969482422
2004,73.9000015258789
2005,73.1999969482422
2006,72.5999984741211
2007,72.0999984741211
2008,71.5999984741211
2009,71.1999969482422
2010,70.6999969482422
2011,71
2012,71.0999984741211
2013,71.3000030517578
2014,
