Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,84.1999969482422
1991,84.1999969482422
1992,84.0999984741211
1993,84.0999984741211
1994,84.0999984741211
1995,84
1996,83.8000030517578
1997,83.5999984741211
1998,83.1999969482422
1999,82.8000030517578
2000,82.4000015258789
2001,81.5999984741211
2002,80.8000030517578
2003,80
2004,79.1999969482422
2005,78.5999984741211
2006,78
2007,77.5
2008,77.0999984741211
2009,76.6999969482422
2010,76.4000015258789
2011,76.6999969482422
2012,77
2013,77.3000030517578
2014,
