Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,633236930
1991,642323210
1992,651196155
1993,659797392
1994,668088190
1995,677071847
1996,685951509
1997,695649735
1998,705159019
1999,714378563
2000,724325746
2001,731359728
2002,738923140
2003,746320096
2004,752711357
2005,758612921
2006,763693185
2007,768074459
2008,770992463
2009,773686144
2010,774172295
2011,782422530
2012,787632272
2013,793307655
2014,
