Date,Value
1960,45.112
1961,45.639
1962,46.638
1963,48.158
1964,50.161
1965,52.533
1966,55.102
1967,57.647
1968,59.979
1969,61.99
1970,63.61
1971,64.828
1972,65.741
1973,66.44
1974,66.963
1975,67.355
1976,67.656
1977,67.9
1978,68.121
1979,68.346
1980,68.594
1981,68.866
1982,69.143
1983,69.411
1984,69.672
1985,69.925
1986,70.171
1987,70.41
1988,70.643
1989,70.869
1990,71.086
1991,71.286
1992,71.47
1993,71.643
1994,71.814
1995,72.002
1996,72.229
1997,72.506
1998,72.836
1999,73.214
2000,73.622
2001,74.036
2002,74.43
2003,74.784
2004,75.087
2005,75.339
2006,75.545
2007,75.723
2008,75.889
2009,76.049
2010,76.207
2011,76.365
2012,76.522
2013,76.675
2014,
