Date,Value
1960,41.898
1961,42.011
1962,42.879
1963,44.591
1964,47.076
1965,50.109
1966,53.349
1967,56.408
1968,58.983
1969,60.938
1970,62.236
1971,62.962
1972,63.36
1973,63.635
1974,63.871
1975,64.123
1976,64.412
1977,64.706
1978,64.983
1979,65.254
1980,65.528
1981,65.804
1982,66.076
1983,66.337
1984,66.589
1985,66.833
1986,67.069
1987,67.297
1988,67.518
1989,67.732
1990,67.934
1991,68.114
1992,68.272
1993,68.417
1994,68.561
1995,68.736
1996,68.976
1997,69.3
1998,69.71
1999,70.197
2000,70.73
2001,71.271
2002,71.774
2003,72.209
2004,72.562
2005,72.83
2006,73.029
2007,73.187
2008,73.333
2009,73.477
2010,73.626
2011,73.782
2012,73.94
2013,74.094
2014,
