Date,Value
1960,43.4658048780488
1961,43.780756097561
1962,44.7126585365854
1963,46.331
1964,48.5808780487805
1965,51.2914390243903
1966,54.2041219512195
1967,57.0123902439024
1968,59.4688536585366
1969,61.4511707317073
1970,62.906243902439
1971,63.872243902439
1972,64.5214634146342
1973,65.0032926829268
1974,65.3792926829268
1975,65.6995853658537
1976,65.9944390243903
1977,66.2640487804878
1978,66.5137317073171
1979,66.7622926829268
1980,67.0236097560976
1981,67.2976585365854
1982,67.5720975609756
1983,67.836512195122
1984,68.0929024390244
1985,68.3412926829268
1986,68.5821707317073
1987,68.8155365853658
1988,69.0423902439024
1989,69.262243902439
1990,69.4715609756098
1991,69.6613170731707
1992,69.832
1993,69.9906585365854
1994,70.1478292682927
1995,70.3291707317073
1996,70.5628292682927
1997,70.8639024390244
1998,71.2348780487805
1999,71.6687073170732
2000,72.1407317073171
2001,72.6197804878049
2002,73.0696097560976
2003,73.4650975609756
2004,73.7937073170732
2005,74.0539024390244
2006,74.2563170731707
2007,74.4240731707317
2008,74.5798292682927
2009,74.7316341463415
2010,74.8850243902439
2011,75.042
2012,75.199512195122
2013,75.3530243902439
2014,
