Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,52.9318389892578
1991,55.3674201965332
1992,60.0293006896973
1993,64.8907012939453
1994,64.8959426879883
1995,65.6067886352539
1996,66.6537475585938
1997,72.8928070068359
1998,
1999,
2000,
2001,
2002,
2003,
2004,
2005,
2006,
2007,88.7577819824219
2008,90.4927215576172
2009,92.2138977050781
2010,94.2844467163086
2011,99.0586013793945
2012,
2013,
2014,
