Date,Value
1960,375.6472
1961,374.3026
1962,372.958
1963,345.5146
1964,318.0712
1965,290.6278
1966,263.1844
1967,235.741
1968,223.0876
1969,210.4342
1970,197.7808
1971,185.1274
1972,172.474
1973,169.5518
1974,166.6296
1975,163.7074
1976,160.7852
1977,157.863
1978,155.1776
1979,152.4922
1980,149.8068
1981,147.1214
1982,144.436
1983,141.9712
1984,139.5064
1985,137.0416
1986,134.5768
1987,132.112
1988,129.8518
1989,127.5916
1990,125.3314
1991,123.0712
1992,120.811
1993,118.7402
1994,116.6694
1995,114.5986
1996,112.5278
1997,110.457
1998,108.073
1999,105.689
2000,103.305
2001,100.921
2002,98.537
2003,96.5916
2004,94.6462
2005,92.7008
2006,90.7554
2007,88.81
2008,86.324
2009,83.838
2010,81.352
2011,78.866
2012,76.38
2013,75.0428
2014,
