Date,Value
1960,522.4436
1961,534.9078
1962,547.372
1963,487.285
1964,427.198
1965,367.111
1966,307.024
1967,246.937
1968,237.4316
1969,227.9262
1970,218.4208
1971,208.9154
1972,199.41
1973,197.7922
1974,196.1744
1975,194.5566
1976,192.9388
1977,191.321
1978,189.7672
1979,188.2134
1980,186.6596
1981,185.1058
1982,183.552
1983,182.06
1984,180.568
1985,179.076
1986,177.584
1987,176.092
1988,174.66
1989,173.228
1990,171.796
1991,170.364
1992,168.932
1993,167.558
1994,166.184
1995,164.81
1996,163.436
1997,162.062
1998,155.8416
1999,149.6212
2000,143.4008
2001,137.1804
2002,130.96
2003,128.5424
2004,126.1248
2005,123.7072
2006,121.2896
2007,118.872
2008,115.7386
2009,112.6052
2010,109.4718
2011,106.3384
2012,103.205
2013,101.5344
2014,
