Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,84.1
1970,80.3
1971,76.8
1972,73.3
1973,69.7
1974,66.1
1975,62.6
1976,59.1
1977,55.8
1978,52.9
1979,50.2
1980,48
1981,46
1982,44.5
1983,43.3
1984,42.5
1985,42.1
1986,42
1987,42.1
1988,42.2
1989,42.3
1990,42.2
1991,41.8
1992,41.2
1993,40.2
1994,39.1
1995,37.7
1996,36.4
1997,35
1998,33.5
1999,31.9
2000,30.2
2001,28.3
2002,26.2
2003,24.1
2004,22.1
2005,20.3
2006,18.6
2007,17.1
2008,15.8
2009,14.7
2010,13.6
2011,12.6
2012,11.7
2013,10.9
2014,
