Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,119.1
1970,113.2
1971,107.6
1972,102.1
1973,96.5
1974,90.8
1975,85.3
1976,79.8
1977,74.6
1978,70
1979,65.9
1980,62.4
1981,59.5
1982,57.2
1983,55.5
1984,54.4
1985,53.8
1986,53.7
1987,53.8
1988,54
1989,54.1
1990,53.9
1991,53.4
1992,52.4
1993,51.1
1994,49.4
1995,47.5
1996,45.6
1997,43.6
1998,41.5
1999,39.3
2000,36.9
2001,34.3
2002,31.6
2003,28.9
2004,26.3
2005,23.9
2006,21.8
2007,20
2008,18.4
2009,17.1
2010,15.8
2011,14.7
2012,13.6
2013,12.7
2014,
