Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,2515188
1970,2341048
1971,2187415
1972,2041060
1973,1890024
1974,1727335
1975,1553060
1976,1362229
1977,1172614
1978,1010711
1979,895789
1980,844148
1981,851755
1982,905169
1983,984363
1984,1072463
1985,1156542
1986,1232042
1987,1303333
1988,1351363
1989,1360448
1990,1315266
1991,1201851
1992,1041293
1993,857416
1994,696096
1995,578802
1996,522128
1997,505073
1998,510970
1999,518063
2000,512475
2001,489694
2002,456125
2003,418574
2004,382771
2005,352538
2006,325373
2007,301999
2008,282041
2009,265185
2010,247601
2011,231509
2012,216772
2013,202932
2014,
