Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,3510519
1970,3290012
1971,3084334
1972,2879845
1973,2665125
1974,2429885
1975,2181094
1976,1914078
1977,1649760
1978,1420535
1979,1251964
1980,1156933
1981,1124954
1982,1156365
1983,1229494
1984,1320046
1985,1410245
1986,1507722
1987,1597728
1988,1663688
1989,1684346
1990,1643985
1991,1541592
1992,1366861
1993,1161168
1994,967005
1995,821839
1996,722158
1997,675961
1998,661986
1999,652471
2000,628441
2001,591024
2002,545123
2003,495635
2004,448968
2005,409094
2006,377070
2007,349661
2008,325324
2009,305661
2010,285342
2011,268368
2012,250744
2013,235612
2014,
