Date,Value
1960,39.6899795532227
1961,40.0579109191895
1962,40.4370613098145
1963,40.7803688049316
1964,41.0250549316406
1965,41.1326599121094
1966,41.0818710327148
1967,40.9005699157715
1968,40.6556701660156
1969,40.4308204650879
1970,40.2730369567871
1971,40.2024116516113
1972,40.1810111999512
1973,40.1289749145508
1974,39.9436683654785
1975,39.5609550476074
1976,38.9725189208984
1977,38.2151527404785
1978,37.3293647766113
1979,36.3744163513184
1980,35.4002838134766
1981,34.4147796630859
1982,33.4254722595215
1983,32.4817390441895
1984,31.6411437988281
1985,30.9421119689941
1986,30.3954467773438
1987,29.9860038757324
1988,29.6899356842041
1989,29.471586227417
1990,29.2994842529297
1991,29.1670894622803
1992,29.0633201599121
1993,28.947904586792
1994,28.7732791900635
1995,28.5047092437744
1996,28.1394519805908
1997,27.6810207366943
1998,27.112886428833
1999,26.4186916351318
2000,25.5956554412842
2001,24.6348438262939
2002,23.5624713897705
2003,22.4549942016602
2004,21.4124279022217
2005,20.507740020752
2006,19.7633152008057
2007,19.1666526794434
2008,18.7105178833008
2009,18.3752346038818
2010,18.1426124572754
2011,18.013614654541
2012,17.9843711853027
2013,18.0308087218189
2014,
