Date,Value
1960,3.966952085495
1961,3.89447259902954
1962,3.80380439758301
1963,3.71301293373108
1964,3.6460075378418
1965,3.61858105659485
1966,3.63377642631531
1967,3.68391823768616
1968,3.76032638549805
1969,3.85142660140991
1970,3.94912552833557
1971,4.05199766159058
1972,4.16088485717773
1973,4.2736120223999
1974,4.38836574554443
1975,4.50394248962402
1976,4.6190447807312
1977,4.733238697052
1978,4.84711408615112
1979,4.96139669418335
1980,5.07581472396851
1981,5.19135570526123
1982,5.30624866485596
1983,5.41425323486328
1984,5.50747394561768
1985,5.58135032653809
1986,5.6340217590332
1987,5.669837474823
1988,5.69806528091431
1989,5.73078060150146
1990,5.77644300460815
1991,5.83733367919922
1992,5.9116849899292
1993,5.99867343902588
1994,6.09621906280518
1995,6.20274877548218
1996,6.318199634552
1997,6.44318723678589
1998,6.57731103897095
1999,6.7199182510376
2000,6.86995029449463
2001,7.02861404418945
2002,7.19472551345825
2003,7.36211442947388
2004,7.52283954620361
2005,7.67208480834961
2006,7.80955505371094
2007,7.93950843811035
2008,8.06772994995117
2009,8.20217609405518
2010,8.35000991821289
2011,8.50845432281494
2012,8.67963027954102
2013,8.87555283099335
2014,
