Date,Value
1960,
1961,70.3357920805262
1962,70.9152397944239
1963,72.6796793864671
1964,74.3860676909967
1965,76.1787340558677
1966,78.3319575000666
1967,80.3717412723351
1968,82.497803104945
1969,84.7894975101856
1970,87.1637419114318
1971,89.5912443746172
1972,91.8200942667696
1973,93.9408302931856
1974,95.9017921337843
1975,97.6108433414108
1976,99.132958751631
1977,100.493169653556
1978,101.846989588049
1979,103.214656618646
1980,104.517348813677
1981,105.864777780737
1982,107.435358027321
1983,108.999014725854
1984,110.438580140069
1985,111.952706840998
1986,113.630335792081
1987,115.467206348361
1988,117.341357547999
1989,119.154261976407
1990,120.915506084734
1991,122.576625036615
1992,124.088088834447
1993,125.522861023087
1994,126.949644502437
1995,128.336621134526
1996,129.688982907321
1997,131.023100200996
1998,132.286384121395
1999,133.436760709953
2000,134.492481002789
2001,135.473048750848
2002,136.383779609948
2003,137.235919250104
2004,138.053436689892
2005,138.867766063821
2006,139.645342881819
2007,140.376588050196
2008,141.097705219827
2009,141.801244134798
2010,142.487743405
2011,143.172112343875
2012,143.87139360204
2013,144.583456848168
2014,
