Date,Value
1960,48.132511138916
1961,48.2027397155762
1962,48.2946357727051
1963,48.3897590637207
1964,48.4640808105469
1965,48.5023384094238
1966,48.4995803833008
1967,48.4649391174316
1968,48.4143486022949
1969,48.3683052062988
1970,48.3398132324219
1971,48.3313255310059
1972,48.3372688293457
1973,48.352108001709
1974,48.3680114746094
1975,48.3797950744629
1976,48.3867683410645
1977,48.3910713195801
1978,48.3938446044922
1979,48.3968925476074
1980,48.4013557434082
1981,48.4073333740234
1982,48.4139518737793
1983,48.4201812744141
1984,48.4246788024902
1985,48.4265594482422
1986,48.4257202148438
1987,48.4226112365723
1988,48.4176139831543
1989,48.4112739562988
1990,48.4040336608887
1991,48.3957138061523
1992,48.3864135742188
1993,48.3771171569824
1994,48.3690528869629
1995,48.362979888916
1996,48.3593368530273
1997,48.3575897216797
1998,48.3563079833984
1999,48.3535385131836
2000,48.3479309082031
2001,48.3390769958496
2002,48.3275184631348
2003,48.3139877319336
2004,48.299617767334
2005,48.2852478027344
2006,48.271167755127
2007,48.2572402954102
2008,48.2433738708496
2009,48.2293319702148
2010,48.2150344848633
2011,48.200511932373
2012,48.1861020222774
2013,48.1723849541843
2014,
