Date,Value
1960,6819634
1961,6718379
1962,6618492
1963,6520089
1964,6423017
1965,6428131
1966,6385767
1967,6296598
1968,6208554
1969,6121978
1970,6036492
1971,5952201
1972,5868972
1973,5787132
1974,5706322
1975,5626640
1976,5547964
1977,5470600
1978,5630964
1979,5796030
1980,5966171
1981,6140818
1982,6320829
1983,6491492
1984,6667007
1985,6846765
1986,7031628
1987,7221482
1988,7416734
1989,7616707
1990,7823028
1991,8289327
1992,8784122
1993,9306966
1994,9861717
1995,10449535
1996,11073273
1997,11732372
1998,12431692
1999,13172695
2000,13958981
2001,14567277
2002,15087756
2003,15626832
2004,16185952
2005,16763455
2006,17362403
2007,17982750
2008,18626163
2009,19290732
2010,19979977
2011,20693849
2012,21434264
2013,22199023
2014,22991068
