Date,Value
1960,6.30948955969538
1961,6.08946314376805
1962,5.77099083284606
1963,5.38128855440474
1964,5.02615027151039
1965,4.96962702093499
1966,4.84699565249766
1967,4.69206556899551
1968,4.54015951708246
1969,4.38765723074248
1970,4.23950224041117
1971,4.09243834994855
1972,3.9620084177385
1973,3.81856407977773
1974,3.66521688734382
1975,3.52871976541261
1976,3.41418209614061
1977,3.30963170948788
1978,3.2900074193618
1979,3.21288297764595
1980,3.14095837580275
1981,3.0711801119025
1982,2.99815661741827
1983,2.94435931905047
1984,2.89610158507639
1985,2.84789556919707
1986,2.79782211607266
1987,2.74606070497271
1988,2.69580728159118
1989,2.6492503482653
1990,2.60623720069099
1991,2.63738457825118
1992,2.67383441584987
1993,2.71370661245244
1994,2.75592788819163
1995,2.8012198860924
1996,2.84957928940702
1997,2.90056632478763
1998,2.95566118311838
1999,3.01596123570573
2000,3.08145856177517
2001,3.08780967895824
2002,3.0666563413312
2003,3.04929274224387
2004,3.03529986955748
2005,3.02388675094412
2006,3.01892747782615
2007,3.01890721557076
2008,3.02136761058354
2009,3.02643731302928
2010,3.03417123263013
2011,3.04425679824803
2012,3.05827110826814
2013,3.07596997243413
2014,3.09359860707068
