Date,Value
1960,7.89703989086603
1961,8.21316054094165
1962,8.30346275740872
1963,8.25490983168092
1964,8.23548209721417
1965,8.23852821297986
1966,8.15934838183302
1967,8.05316360744815
1968,7.94267743476521
1969,7.82124116704877
1970,7.69990810384754
1971,7.61108696298322
1972,7.57231627669571
1973,7.54835521690818
1974,7.54295362914422
1975,7.56208512704674
1976,7.59406824005975
1977,7.65726537036743
1978,7.75179513996015
1979,7.849112233683
1980,7.95572497923535
1981,8.07273125160356
1982,8.17835945787851
1983,8.33183580733111
1984,8.50570674896922
1985,8.68255033110063
1986,8.85740070679328
1987,9.03094152864068
1988,9.21435164256602
1989,9.41632485585304
1990,9.63997973898528
1991,10.0182328507621
1992,10.4351543816579
1993,10.888910933098
1994,11.3796460080464
1995,11.9134926609426
1996,12.4957883454478
1997,13.1294767392232
1998,13.8293840659938
1999,14.6048521035973
2000,15.4650260366136
2001,16.0608365766403
2002,16.5164633708216
2003,16.9874188916486
2004,17.4674650772525
2005,17.9605729757923
2006,18.4778833274855
2007,19.0210195882038
2008,19.5872476984573
2009,20.175835223773
2010,20.7905920214098
2011,21.3774080632082
2012,21.9580016954235
2013,22.5564111007971
2014,23.146321012203
