Date,Value
1960,52678784
1961,54233963
1962,55281964
1963,56326139
1964,57512901
1965,58920718
1966,60003848
1967,60765146
1968,61516831
1969,62259035
1970,63009503
1971,64017233
1972,65275638
1973,66571964
1974,67912983
1975,69298570
1976,7.06768540000001E7
1977,72242853
1978,74119952
1979,76058290
1980,78064358
1981,80233665
1982,82489387
1983,85260509
1984,8.81892940000001E7
1985,91257077
1986,94489865
1987,97898567
1988,101508062
1989,105335718
1990,109431604
1991,115287820
1992,121566418
1993,128319282
1994,135626604
1995,143540312
1996,152142471
1997,161502411
1998,171751961
1999,182960094
2000,195268378
2001,204269750
2002,211476797
2003,218865905
2004,226391448
2005,234155582
2006,242248746
2007,250675164
2008,259463456
2009,268592824
2010,278116789
2011,287340155
2012,296585631
2013,306176213
2014,316153747
