Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,36.396671295166
1975,35.7200584411621
1976,36.2963714599609
1977,33.2577018737793
1978,38.5572090148926
1979,37.830078125
1980,36.5918502807617
1981,37.0785903930664
1982,36.3255081176758
1983,36.2823791503906
1984,37.0054893493652
1985,38.9898681640625
1986,39.5755805969238
1987,40.376091003418
1988,40.9529190063477
1989,41.524730682373
1990,42.5718803405762
1991,43.1544609069824
1992,43.7919082641602
1993,44.4856605529785
1994,45.1563491821289
1995,45.7971611022949
1996,46.610408782959
1997,47.4013481140137
1998,48.2837409973145
1999,
2000,
2001,50.6329689025879
2002,
2003,52.909839630127
2004,
2005,
2006,55.1762619018555
2007,55.5411491394043
2008,56.1109199523926
2009,56.7584991455078
2010,57.5541114807129
2011,58.3615989685059
2012,58.5632095336914
2013,
2014,
