Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,3487000
1971,3612000
1972,4095000
1973,4398000
1974,4679000
1975,4944000
1976,5203000
1977,5289000
1978,5226000
1979,5226000
1980,5381800
1981,5499400
1982,5580100
1983,5504600
1984,5424600
1985,5369600
1986,5376800
1987,5413600
1988,5433800
1989,5501300
1990,5543800
1991,5581810
1992,5532300
1993,5526500
1994,5551600
1995,5611324
1996,5664057
1997,5735790
1998,5830292
1999,
2000,
2001,5860316
2002,
2003,5778853
2004,
2005,
2006,5967878
2007,6073666
2008,6035510
2009,6018780
2010,5997393
2011,5939088
2012,5466917
2013,
2014,
