Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,85.7311253914338
1991,85.6132026667612
1992,85.4952799420886
1993,85.377357217416
1994,85.2594344927434
1995,85.2420301648436
1996,85.207100591716
1997,85.0533740837713
1998,85.0000018165225
1999,85.0478466170433
2000,85.0782169030479
2001,84.8300973682941
2002,84.4553275120833
2003,84.3016015598292
2004,83.9152189683878
2005,83.6477987421384
2006,83.2911431034909
2007,82.9516516717353
2008,82.5031876836828
2009,82.2849771740077
2010,81.8298985162695
2011,81.8766044527813
2012,81.6901414642166
2013,81.6091941703243
2014,
