Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,73.7269997596741
1975,83.364999294281
1976,88.7229979038239
1977,89.8220002651215
1978,89.4469976425171
1979,87.6839995384216
1980,87.0859980583191
1981,85.5790019035339
1982,83.1300020217896
1983,81.8319976329803
1984,81.9400012493134
1985,82.2179973125458
1986,85.7349991798401
1987,87.2630000114441
1988,88.2520020008087
1989,89.2379999160767
1990,90.3169989585876
1991,91.4650022983551
1992,92.5819993019104
1993,93.1919991970062
1994,94.3560004234314
1995,95.7260012626648
1996,97.1189975738525
1997,98.3669996261597
1998,99.330997467041
1999,
2000,
2001,100.888001918793
2002,100.547003746033
2003,100.618004798889
2004,
2005,
2006,100.407004356384
2007,100.111997127533
2008,99.796998500824
2009,99.6940016746521
2010,99.5459973812103
2011,99.6490001678467
2012,99.906998872757
2013,
2014,
