Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,69.5710003376007
1977,72.842001914978
1978,76.73299908638
1979,75.7560014724731
1980,73.4529972076416
1981,69.7070002555847
1982,68.4059977531433
1983,69.10799741745
1984,69.8499977588654
1985,71.2270021438599
1986,70.5209970474243
1987,73.2490003108978
1988,73.4160006046295
1989,74.0509986877441
1990,73.2800006866455
1991,74.7259974479675
1992,77.1269977092743
1993,78.7240028381348
1994,83.1560015678406
1995,85.4920029640198
1996,87.6600027084351
1997,88.2740020751953
1998,
1999,
2000,
2001,94.6990013122559
2002,
2003,95.9429979324341
2004,
2005,
2006,100.821995735168
2007,101.576995849609
2008,102.77099609375
2009,103.966999053955
2010,100.926995277405
2011,101.46199464798
2012,102.1360039711
2013,
2014,
