Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,49.5050013065338
1975,56.7449986934662
1976,53.7000000476837
1977,54.7730028629303
1978,45.4750001430511
1979,35.1339995861053
1980,34.8720014095306
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,
1993,
1994,52.5730013847351
1995,
1996,
1997,
1998,
1999,
2000,
2001,
2002,
2003,82.8849971294403
2004,88.9389991760254
2005,90.9979999065399
2006,95.4609990119934
2007,99.1760015487671
2008,103.332996368408
2009,105.692005157471
2010,108.229005336761
2011,110.901999473572
2012,112.647998332977
2013,
2014,
