Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,83.9959979057312
1977,84.7209990024567
1978,85.2039992809296
1979,83.7890028953552
1980,82.9599976539612
1981,81.046998500824
1982,79.407000541687
1983,78.8709998130798
1984,79.1069984436035
1985,79.5059978961945
1986,81.4260005950928
1987,82.9750001430511
1988,83.4150016307831
1989,84.2029988765717
1990,84.71599817276
1991,85.9340012073517
1992,87.4239981174469
1993,88.3109986782074
1994,90.5870020389557
1995,92.1739995479584
1996,93.6749994754791
1997,94.5840001106262
1998,
1999,
2000,
2001,97.9460000991821
2002,
2003,98.0250000953674
2004,
2005,
2006,100.167000293732
2007,100.441002845764
2008,100.909996032715
2009,101.495003700256
2010,100.004005432129
2011,100.355994701385
2012,100.829994678497
2013,
2014,
