Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,
1993,
1994,
1995,
1996,2.38423991203308
1997,1.79433000087738
1998,
1999,
2000,
2001,
2002,0.351090013980865
2003,0.361149996519089
2004,
2005,
2006,0.296609997749329
2007,0.271340012550354
2008,0.312319993972778
2009,0.307610005140305
2010,0.303279995918274
2011,0.279980003833771
2012,0.194470003247261
2013,
2014,
