Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,7.48817014694214
1990,6.51574993133545
1991,6.14473009109497
1992,5.10434007644653
1993,4.57985019683838
1994,3.73955988883972
1995,2.83004999160767
1996,2.18097996711731
1997,1.63970005512238
1998,
1999,
2000,
2001,
2002,0.297800004482269
2003,0.322250008583069
2004,
2005,
2006,0.268869996070862
2007,0.246710002422333
2008,0.286709994077683
2009,0.279859989881516
2010,0.276800006628037
2011,0.258199989795685
2012,0.17111000418663
2013,
2014,
