Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,
1993,
1994,
1995,0.419299989938736
1996,0.404559999704361
1997,0.245000004768372
1998,
1999,
2000,
2001,
2002,
2003,0.233410000801086
2004,
2005,
2006,0.263449996709824
2007,0.292829990386963
2008,0.271180003881454
2009,0.181799992918968
2010,0.157659992575645
2011,0.147420004010201
2012,0.132339999079704
2013,
2014,
