Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,
1993,
1994,
1995,0.62966001033783
1996,0.356180012226105
1997,0.334439992904663
1998,
1999,
2000,
2001,
2002,
2003,0.344289988279343
2004,
2005,
2006,0.373070001602173
2007,0.392630010843277
2008,0.37898001074791
2009,0.247590005397797
2010,0.223749995231628
2011,0.202399998903275
2012,0.160840004682541
2013,
2014,
