Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,2.34512996673584
1991,1.98432004451752
1992,1.69745004177094
1993,1.35617005825043
1994,0.911559998989105
1995,0.536469995975494
1996,0.377869993448257
1997,0.293929994106293
1998,
1999,
2000,
2001,
2002,
2003,0.292540013790131
2004,
2005,
2006,0.321480005979538
2007,0.345589995384216
2008,0.328000009059906
2009,0.216360002756119
2010,0.192300006747246
2011,0.176210001111031
2012,0.147239997982979
2013,
2014,
