Date,Value
1960,1.24389233787494
1961,-1.61999785038569
1962,0.196605139571034
1963,1.81407508102221
1964,1.65947928008615
1965,2.64173551354229
1966,2.99586975365971
1967,2.72894468111034
1968,2.76768535017213
1969,2.8953269253974
1970,2.91675943973791
1971,2.87758069327843
1972,2.58785170502301
1973,2.2833952811832
1974,1.93546037813605
1975,1.63572658046571
1976,1.47467235262699
1977,1.29006101413367
1978,0.87640001330865
1979,0.45676688750289
1980,0.339541070309066
1981,0.334046362936972
1982,0.486379093579183
1983,0.628711883581971
1984,0.469834594276456
1985,0.495456907530141
1986,0.595274324416893
1987,0.683647432382676
1988,0.661580620450218
1989,0.559447167139255
1990,0.464975034515592
1991,0.174643830516449
1992,-0.00364702013121536
1993,-0.116016198065801
1994,-0.177318684644395
1995,-0.261567331587744
1996,-0.344790968545297
1997,-0.40703713076191
1998,-0.517399493786589
1999,-0.654731362219618
2000,-0.777935942516781
2001,-1.18818624622676
2002,-1.4701504963595
2003,-1.59563906823514
2004,-1.70378331818298
2005,-1.78102663063287
2006,-1.81124634089962
2007,-1.87748985110646
2008,-1.96321561084525
2009,-2.04298504800307
2010,-2.13347423873235
2011,-2.20960750010347
2012,-2.21136817569952
2013,-2.20070135884128
2014,
