Date,Value
1960,558984648
1961,550002064
1962,551084460
1963,561172774
1964,570563019
1965,585836641
1966,603653090
1967,620353282
1968,637762514
1969,656497738
1970,675928190
1971,695661123
1972,713898765
1973,730387430
1974,744661478
1975,756942270
1976,768187399
1977,778161684
1978,785011465
1979,788605339
1980,791287529
1981,793935216
1982,797806157
1983,802837860
1984,806618745
1985,810625110
1986,815464944
1987,821058949
1988,826508924
1989,831145763
1990,835019382
1991,836478966
1992,836448460
1993,835478607
1994,833998460
1995,831819843
1996,828956742
1997,825589438
1998,821328874
1999,815968942
2000,809645853
2001,800082679
2002,788406300
2003,775926016
2004,762817902
2005,749352182
2006,735901746
2007,722214159
2008,708173810
2009,693852712
2010,679206337
2011,664363135
2012,649832871
2013,635688202
2014,
