Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,14.6876201629639
1985,16.5913391113281
1986,19.2104892730713
1987,20.4741096496582
1988,21.1061401367188
1989,20.1885509490967
1990,19.1458606719971
1991,20.1145706176758
1992,21.2155208587646
1993,22.2543506622314
1994,22.6186790466309
1995,23.3972606658936
1996,24.6512393951416
1997,25.6705493927002
1998,41.4018707275391
1999,35.651439666748
2000,37.9415512084961
2001,38.8712387084961
2002,36.68212890625
2003,38.735969543457
2004,
2005,
2006,46.0546493530273
2007,48.1487197875977
2008,49.6293792724609
2009,51.6405296325684
2010,54.6888885498047
2011,61.146110534668
2012,70.0057373046875
2013,
2014,
