Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,15.1820497512817
1985,17.8878898620605
1986,20.1551399230957
1987,21.2086296081543
1988,22.4060592651367
1989,21.5679397583008
1990,20.5776500701904
1991,20.6326999664307
1992,22.0925598144531
1993,23.0540008544922
1994,23.3581295013428
1995,24.1932697296143
1996,25.38450050354
1997,26.4809398651123
1998,27.9524402618408
1999,36.5745582580566
2000,39.131649017334
2001,39.8124694824219
2002,38.4749794006348
2003,40.6458282470703
2004,
2005,
2006,48.4414100646973
2007,51.017261505127
2008,52.5961112976074
2009,54.3288116455078
2010,57.0455703735352
2011,62.7554588317871
2012,69.8345565795898
2013,
2014,
