Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,2.35160994529724
1975,2.51657009124756
1976,5.93456983566284
1977,13.5028295516968
1978,8.85807037353516
1979,8.01027965545654
1980,9.27978992462158
1981,12.6346101760864
1982,12.2453098297119
1983,13.7551898956299
1984,14.9427404403687
1985,17.2608604431152
1986,19.6987495422363
1987,20.8537998199463
1988,21.7779006958008
1989,20.9013690948486
1990,19.8870105743408
1991,20.3832702636719
1992,21.6714992523193
1993,22.6712493896484
1994,23.0052700042725
1995,23.8143501281738
1996,25.036319732666
1997,26.0973892211914
1998,34.3053817749023
1999,36.140380859375
2000,38.5744094848633
2001,39.3731689453125
2002,37.6401290893555
2003,39.7575187683105
2004,
2005,
2006,47.3352699279785
2007,49.6897506713867
2008,51.224910736084
2009,53.0876502990723
2010,55.9585304260254
2011,62.0137901306152
2012,69.9133834838867
2013,
2014,
