Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,100.75032043457
1975,111.382232666016
1976,116.75821685791
1977,113.85669708252
1978,108.520637512207
1979,106.198692321777
1980,106.014137268066
1981,105.822853088379
1982,103.10871887207
1983,101.880111694336
1984,102.651580810547
1985,107.816802978516
1986,115.419158935547
1987,121.46395111084
1988,123.840072631836
1989,123.828811645508
1990,121.793586730957
1991,117.247337341309
1992,113.437759399414
1993,109.468139648438
1994,106.59725189209
1995,104.761848449707
1996,102.783782958984
1997,101.68229675293
1998,102.508750915527
1999,
2000,
2001,105.78157043457
2002,108.759246826172
2003,112.17733001709
2004,
2005,
2006,119.023109436035
2007,123.537086486816
2008,127.544822692871
2009,129.244415283203
2010,128.540481567383
2011,127.708023071289
2012,127.787872314453
2013,
2014,
