Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,136.653442382813
1975,133.60856628418
1976,131.597885131836
1977,126.75804901123
1978,121.32364654541
1979,121.11498260498
1980,121.735260009766
1981,123.655288696289
1982,124.033538818359
1983,124.499221801758
1984,125.27710723877
1985,131.135833740234
1986,134.622451782227
1987,139.1923828125
1988,140.325546264648
1989,138.762298583984
1990,134.850936889648
1991,128.188613891602
1992,122.526298522949
1993,117.464897155762
1994,112.974021911621
1995,109.439819335938
1996,105.832946777344
1997,103.370590209961
1998,103.198760986328
1999,
2000,
2001,104.850799560547
2002,108.167831420898
2003,111.488441467285
2004,
2005,
2006,118.541053771973
2007,123.399436950684
2008,127.804023742676
2009,129.640869140625
2010,129.126922607422
2011,128.157836914063
2012,127.907203674316
2013,
2014,
