Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,107.992111206055
1971,106.593246459961
1972,107.720542907715
1973,115.035057067871
1974,119.333000183105
1975,122.88818359375
1976,124.446807861328
1977,120.546836853027
1978,115.159477233887
1979,113.925636291504
1980,114.142486572266
1981,115.019142150879
1982,113.873809814453
1983,113.498123168945
1984,114.264488220215
1985,119.788558959961
1986,125.289321899414
1987,130.589416503906
1988,132.335556030273
1989,131.530044555664
1990,128.528747558594
1991,122.89045715332
1992,118.126747131348
1993,113.597961425781
1994,109.895881652832
1995,107.187042236328
1996,104.368507385254
1997,102.561737060547
1998,102.868949890137
1999,
2000,
2001,105.291809082031
2002,108.447021484375
2003,111.812469482422
2004,
2005,
2006,118.76611328125
2007,123.463592529297
2008,127.683448791504
2009,129.456802368164
2010,128.855102539063
2011,127.949676513672
2012,127.85205078125
2013,
2014,
