Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,96.0593032836914
1988,97.7079010009766
1989,96.6461791992188
1990,97.0454330444336
1991,95.6675720214844
1992,93.0358428955078
1993,90.9085922241211
1994,89.0173110961914
1995,87.5622100830078
1996,86.9565582275391
1997,86.8545989990234
1998,
1999,
2000,
2001,
2002,
2003,
2004,
2005,
2006,
2007,
2008,
2009,
2010,
2011,
2012,
2013,
2014,
