Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,45.7360610961914
1977,47.8533782958984
1978,46.663990020752
1979,42.9682388305664
1980,36.8207702636719
1981,32.5011711120605
1982,27.5343399047852
1983,25.4738006591797
1984,25.2496299743652
1985,26.6618404388428
1986,27.7920207977295
1987,30.167839050293
1988,31.4521503448486
1989,31.7705097198486
1990,31.8147602081299
1991,34.2824211120605
1992,37.7341499328613
1993,40.692138671875
1994,43.1916809082031
1995,46.8174095153809
1996,50.8242301940918
1997,52.6937408447266
1998,
1999,
2000,
2001,56.4991912841797
2002,
2003,58.8857002258301
2004,
2005,
2006,67.3265914916992
2007,71.8433532714844
2008,76.4684906005859
2009,80.8107376098633
2010,83.5365219116211
2011,87.2819976806641
2012,89.9815521240234
2013,
2014,
