Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,65.7401428222656
1977,65.6948776245117
1978,60.8133201599121
1979,56.7189292907715
1980,50.1283912658691
1981,46.6250686645508
1982,40.2512588500977
1983,36.8609886169434
1984,36.1481094360352
1985,37.4323196411133
1986,39.4095001220703
1987,41.1853103637695
1988,42.8408889770508
1989,42.9037590026855
1990,43.4153709411621
1991,45.8775482177734
1992,48.9248886108398
1993,51.6896896362305
1994,51.9404907226563
1995,54.7621917724609
1996,57.9790916442871
1997,59.693431854248
1998,
1999,
2000,
2001,59.6621704101563
2002,
2003,61.3756103515625
2004,
2005,
2006,66.7778015136719
2007,70.7278671264648
2008,74.4067077636719
2009,77.7270278930664
2010,82.7690963745117
2011,86.0240783691406
2012,88.1000900268555
2013,
2014,
