Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,28.3062191009521
1971,38.0893707275391
1972,45.7396583557129
1973,51.7172698974609
1974,48.0887184143066
1975,48.497989654541
1976,56.1200294494629
1977,57.108211517334
1978,54.0008087158203
1979,50.0896492004395
1980,43.7103500366211
1981,39.8167190551758
1982,34.1225090026855
1983,31.3721599578857
1984,30.8908500671387
1985,32.2290306091309
1986,33.7844390869141
1987,35.8401298522949
1988,37.3064918518066
1989,37.487850189209
1990,37.7703514099121
1991,40.2383003234863
1992,43.4872589111328
1993,46.351261138916
1994,47.697021484375
1995,50.9105186462402
1996,54.5108985900879
1997,56.3019485473633
1998,
1999,58.2369689941406
2000,58.0278511047363
2001,58.1403388977051
2002,58.4248008728027
2003,60.1834983825684
2004,
2005,
2006,67.0382690429688
2007,71.2555465698242
2008,75.3788070678711
2009,79.1764221191406
2010,83.1287689208984
2011,86.6121978759766
2012,88.9779968261719
2013,
2014,
