Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,0.226960003376007
1975,0.349510014057159
1976,0.398629993200302
1977,0.456129997968674
1978,0.444830000400543
1979,0.501079976558685
1980,0.579879999160767
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,
1993,
1994,2.53349995613098
1995,
1996,
1997,
1998,
1999,
2000,
2001,
2002,
2003,13.5286502838135
2004,15.9909400939941
2005,17.4491500854492
2006,19.0498104095459
2007,19.881160736084
2008,20.531810760498
2009,22.4542808532715
2010,24.2867794036865
2011,25.6502208709717
2012,28.3756294250488
2013,
2014,
