Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,0.458449989557266
1975,0.615930020809174
1976,0.742320001125336
1977,0.832759976387024
1978,0.978200018405914
1979,1.42620003223419
1980,1.66287994384766
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,
1993,
1994,4.81900978088379
1995,
1996,
1997,
1998,
1999,
2000,
2001,
2002,
2003,16.3222103118896
2004,17.9797096252441
2005,19.175220489502
2006,19.955509185791
2007,20.0463600158691
2008,19.8695392608643
2009,21.2449893951416
2010,22.4401893615723
2011,23.1288204193115
2012,25.1897201538086
2013,
2014,
