Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,0.131469994783401
1971,
1972,
1973,0.212789997458458
1974,0.348940014839172
1975,0.489870011806488
1976,0.579479992389679
1977,0.654349982738495
1978,0.725530028343201
1979,0.986880004405975
1980,1.14689004421234
1981,1.79426002502441
1982,
1983,
1984,2.01724004745483
1985,2.45128989219666
1986,3.02037000656128
1987,3.20273995399475
1988,3.19928002357483
1989,3.11741995811462
1990,3.09805989265442
1991,3.00382995605469
1992,2.89561009407043
1993,2.96883010864258
1994,3.70608997344971
1995,4.50972986221313
1996,5.06680011749268
1997,5.55160999298096
1998,6.09553003311157
1999,6.60974979400635
2000,7.7568302154541
2001,9.83335018157959
2002,12.419810295105
2003,14.9673700332642
2004,17.0164794921875
2005,18.3408699035645
2006,19.5187797546387
2007,19.9668998718262
2008,20.1872692108154
2009,21.8237209320068
2010,23.3215293884277
2011,24.3284091949463
2012,26.7000007629395
2013,
2014,
