Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,802600
1980,783435
1981,787700
1982,761600
1983,750800
1984,749700
1985,799850
1986,854800
1987,909851
1988,969800
1989,1028750
1990,1077000
1991,1128900
1992,1175600
1993,1230050
1994,1272900
1995,1321680
1996,1431683
1997,1537605
1998,1650000
1999,
2000,1940197
2001,1949668
2002,2042744
2003,2228135
2004,
2005,
2006,2594248
2007,2804702
2008,
2009,3030146
2010,3103856
2011,3149854
2012,3250337
2013,
2014,
