Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,24.457649230957
1980,24.5522899627686
1981,24.8363304138184
1982,25.3125095367432
1983,26.1561298370361
1984,26.2650508880615
1985,27.7436695098877
1986,28.1267509460449
1987,28.4164199829102
1988,28.8133602142334
1989,29.3802700042725
1990,30.3705406188965
1991,31.0863304138184
1992,31.8039207458496
1993,32.5690116882324
1994,33.1821403503418
1995,33.8005485534668
1996,34.9253005981445
1997,36.4538688659668
1998,
1999,
2000,40.7346000671387
2001,42.6430511474609
2002,42.6213607788086
2003,43.3655014038086
2004,
2005,
2006,44.990161895752
2007,45.0833702087402
2008,
2009,47.432731628418
2010,48.3689804077148
2011,48.9782600402832
2012,49.6193695068359
2013,
2014,
