Date,Value
1960,37.87365
1961,38.11117
1962,38.348698
1963,42.44623
1964,46.54376
1965,50.64129
1966,54.73882
1967,58.836342
1968,60.70501
1969,62.57367
1970,64.44233
1971,66.31099
1972,68.179656
1973,68.74736
1974,69.31507
1975,69.88278
1976,70.45049
1977,71.018193
1978,71.51775
1979,72.01732
1980,72.51688
1981,73.01645
1982,73.516006
1983,73.95838
1984,74.40076
1985,74.84313
1986,75.28551
1987,75.727891
1988,76.12215
1989,76.51642
1990,76.91068
1991,77.30495
1992,77.699223
1993,78.05278
1994,78.40634
1995,78.7599
1996,79.11346
1997,79.467011
1998,80.06745
1999,80.66789
2000,81.26833
2001,81.86877
2002,82.469222
2003,82.79569
2004,83.12216
2005,83.44863
2006,83.7751
2007,84.101571
2008,84.45311
2009,84.80465
2010,85.15619
2011,85.50773
2012,85.859277
2013,86.094396
2014,
